Date,Open,High,Low,Close,Adj Close,Volume
2021-08-18,637.299988,639.049988,624.500000,629.200012,629.200012,235709
2021-08-20,625.799988,631.750000,618.000000,619.849976,619.849976,226478
2021-08-23,623.400024,637.000000,623.400024,628.650024,628.650024,298478
2021-08-24,631.849976,635.799988,624.099976,633.349976,633.349976,286515
2021-08-25,635.400024,642.700012,629.500000,631.150024,631.150024,580400
2021-08-26,632.000000,638.400024,626.000000,628.950012,628.950012,190419
2021-08-27,631.400024,636.000000,625.500000,634.849976,634.849976,487174
2021-08-30,639.000000,639.500000,630.450012,632.200012,632.200012,208679
2021-08-31,633.400024,642.549988,629.000000,641.250000,641.250000,1381038
2021-09-01,642.000000,647.049988,635.150024,642.049988,642.049988,394249
2021-09-02,645.000000,656.950012,640.700012,651.549988,651.549988,358118
2021-09-03,653.000000,656.500000,649.549988,655.000000,655.000000,333227
2021-09-06,656.400024,688.900024,656.400024,686.849976,686.849976,432519
2021-09-07,690.799988,690.799988,672.700012,674.200012,674.200012,320400
2021-09-08,675.200012,676.200012,660.000000,662.349976,662.349976,196242
2021-09-09,661.000000,664.599976,654.000000,662.200012,662.200012,261806
2021-09-13,663.400024,671.900024,658.000000,670.799988,670.799988,328486
2021-09-14,674.000000,675.500000,670.000000,673.200012,673.200012,239691
2021-09-15,674.400024,680.500000,670.150024,674.049988,674.049988,177365
2021-09-16,683.000000,683.000000,665.000000,667.700012,667.700012,263728
2021-09-17,672.400024,674.150024,663.000000,664.849976,664.849976,205311
2021-09-20,659.400024,670.750000,653.450012,662.549988,662.549988,254390
2021-09-21,659.099976,668.700012,656.849976,667.299988,667.299988,254851
2021-09-22,669.400024,674.349976,663.200012,667.750000,667.750000,132690
2021-09-23,674.799988,677.099976,671.900024,674.349976,674.349976,1381157
2021-09-24,680.950012,698.950012,675.000000,676.650024,676.650024,694516
2021-09-27,679.900024,679.900024,651.049988,654.099976,654.099976,547215
2021-09-28,654.700012,654.750000,635.500000,639.650024,639.650024,601690
2021-09-29,630.000000,646.549988,627.299988,640.900024,640.900024,417079
2021-09-30,640.299988,646.750000,632.500000,634.349976,634.349976,327871
2021-10-01,634.000000,639.549988,630.150024,636.150024,636.150024,246095
2021-10-04,640.700012,643.000000,636.000000,640.349976,640.349976,208428
2021-10-05,637.700012,649.450012,634.200012,646.750000,646.750000,179204
2021-10-06,651.000000,651.000000,634.650024,635.799988,635.799988,172434
2021-10-07,637.000000,648.450012,637.000000,642.900024,642.900024,353455
2021-10-08,646.000000,667.349976,645.000000,661.299988,661.299988,386427
